index,Age,Workclass,Education-Num,Marital Status,Occupation,Relationship,Race,Sex,Capital Gain,Capital Loss,Hours per week,Country,INCOME
110,24,4,13,4,12,2,4,1,0,0,40,39,0
111,38,4,15,2,10,4,4,1,0,0,40,39,1
112,56,6,9,2,8,4,4,1,0,1887,50,2,1
113,28,4,10,2,12,5,4,0,4064,0,25,39,0
114,36,4,9,4,7,3,4,0,0,0,40,39,0
115,53,4,5,2,6,4,4,1,0,0,50,39,0
116,56,5,10,2,12,4,4,1,0,0,50,39,0
117,49,2,11,2,3,4,2,1,0,0,40,39,1
118,55,4,10,2,12,4,4,1,0,0,56,39,0
119,22,4,9,4,3,0,4,1,0,0,41,39,0
120,21,4,10,4,8,3,4,0,0,0,40,39,0
121,40,4,13,2,4,4,4,1,0,0,60,39,0
122,30,4,13,4,4,3,2,1,0,0,40,11,0
123,29,7,13,2,10,4,4,1,0,0,50,39,1
124,19,4,10,4,8,3,2,1,0,0,35,39,0
125,47,4,13,2,4,5,4,0,0,0,40,39,1
126,20,4,10,4,1,3,4,0,0,1719,28,39,0
127,31,4,12,2,1,4,4,1,0,0,40,39,1
128,35,0,9,2,0,4,4,1,0,0,40,39,0
129,39,4,10,0,3,0,4,1,0,0,40,39,0
130,28,4,12,4,12,0,4,0,0,0,60,39,0
131,24,4,9,4,8,0,4,0,0,1762,40,39,0
132,38,6,9,2,3,4,4,1,4386,0,35,39,0
133,37,4,13,2,12,4,4,1,0,0,50,39,0
134,46,4,12,0,13,0,2,0,0,0,36,39,0
135,38,1,14,2,10,4,4,1,0,0,40,20,1
136,43,6,9,2,3,4,4,1,0,0,60,39,0
137,27,4,11,2,1,5,4,0,0,0,35,39,0
138,20,4,10,4,12,3,4,1,0,0,20,39,0
139,49,4,10,2,3,4,1,1,0,0,40,39,1
140,61,5,9,2,3,4,4,1,0,0,40,39,0
141,27,4,10,4,12,3,4,0,0,0,40,39,0
142,19,4,10,4,8,3,4,1,0,0,30,26,0
143,45,4,11,4,10,0,4,0,0,1564,40,39,1
144,70,4,10,4,13,2,4,1,0,0,40,39,0
145,31,4,9,4,14,1,2,0,0,0,30,39,0
146,22,4,10,2,8,4,4,1,0,0,24,39,0
147,36,4,9,6,8,1,4,0,0,0,24,39,0
148,64,4,7,2,3,4,4,1,0,2179,40,39,0
149,43,0,10,0,0,0,4,0,0,0,40,39,0
150,47,2,10,0,1,1,4,0,0,0,38,26,0
151,34,4,9,4,1,0,4,0,0,0,40,39,0
152,33,4,13,4,4,2,1,0,0,0,40,30,0
153,21,4,9,4,3,3,4,1,0,0,35,39,0
154,52,0,9,0,0,0,4,1,0,0,45,39,1
155,48,4,9,2,3,4,4,1,0,0,46,39,0
156,23,4,13,4,6,0,4,1,0,0,40,39,0
157,71,6,10,5,12,1,2,1,0,1816,2,39,0
158,29,4,9,0,3,0,4,1,0,0,60,39,0
159,42,4,13,5,8,2,2,1,0,0,50,39,0
160,68,0,2,0,0,0,4,0,0,0,20,39,0
161,25,4,9,4,8,1,4,0,0,0,40,39,0
162,44,5,14,0,4,1,1,0,0,0,40,39,0
163,28,4,9,4,4,0,1,0,0,0,40,9,0
164,45,6,14,2,12,4,4,1,0,0,40,39,1
165,36,4,10,0,8,1,4,0,0,0,40,26,0
166,39,1,12,4,4,0,4,1,0,0,42,39,0
167,46,7,14,6,11,1,4,1,0,0,40,39,0
168,18,4,7,4,6,3,4,1,0,0,16,39,0
169,66,2,11,6,10,0,4,0,0,0,20,39,0
170,27,4,9,4,8,0,4,1,0,1980,40,39,0
171,28,7,9,2,11,4,4,1,0,0,40,39,0
172,51,4,10,2,12,4,4,1,0,1977,40,39,1
173,27,4,13,4,3,0,4,1,0,0,50,39,0
174,28,7,13,2,10,4,4,1,0,0,40,39,1
175,27,4,9,3,12,1,4,0,0,0,25,39,0
176,21,4,9,4,3,3,2,1,0,0,40,39,0
177,34,4,9,4,6,0,2,1,0,0,40,39,0
178,18,4,9,4,8,3,4,1,0,0,12,39,0
179,33,4,13,2,10,4,4,1,0,0,65,39,0
180,44,2,10,2,4,4,2,1,0,0,38,39,1
181,43,4,10,0,1,0,4,0,0,0,40,39,0
182,30,4,10,4,3,0,2,1,0,0,45,39,0
183,40,4,4,2,7,4,4,1,0,0,40,26,1
184,37,1,10,2,1,4,4,1,0,0,42,39,1
185,34,4,9,2,1,4,2,1,0,0,40,39,0
186,41,6,13,0,4,0,4,0,0,0,40,39,0
187,53,0,13,0,0,0,4,0,0,0,50,39,0
188,31,4,14,2,10,5,4,0,0,0,50,39,0
189,58,7,16,2,10,4,4,1,0,0,1,39,1
190,38,4,10,0,7,0,2,0,0,0,28,39,0
191,24,4,10,2,7,4,4,1,0,0,40,39,0
192,41,2,13,2,3,4,2,1,0,0,40,39,0
193,47,4,10,2,13,4,4,1,0,0,45,39,0
194,41,1,13,2,13,4,4,1,0,0,24,39,0
195,23,4,3,2,14,2,4,1,0,0,40,26,0
196,36,4,10,0,3,0,4,1,0,0,40,39,0
197,40,1,14,4,4,0,4,0,14084,0,55,39,1
198,35,4,14,2,10,2,4,1,7298,0,40,39,1
199,24,6,9,4,12,0,4,1,0,0,40,39,0
200,26,4,14,4,10,0,4,0,0,1876,40,39,0
201,19,0,9,4,0,3,4,1,0,0,40,22,0
202,51,4,13,2,4,4,4,1,0,0,50,39,1
203,42,2,10,4,10,0,4,0,0,1340,40,39,0
204,37,7,9,0,1,1,4,0,0,0,35,39,0
205,18,4,7,4,12,3,4,0,0,0,40,39,0
206,36,4,13,2,8,4,2,1,7298,0,36,39,1
207,35,4,9,0,3,0,4,1,0,0,60,39,0
208,58,5,9,2,12,5,4,0,15024,0,35,39,1
209,17,4,7,4,12,3,4,0,0,0,12,39,0
210,44,2,9,2,14,4,2,1,0,0,40,39,0
211,37,4,9,2,3,4,4,1,0,0,40,39,1
212,35,4,10,4,12,0,0,0,0,0,40,39,0
213,60,4,9,2,3,4,1,1,0,0,40,39,0
214,54,5,4,2,7,4,4,1,0,0,40,39,1
215,37,4,13,4,4,0,2,1,0,0,60,39,1
216,50,4,12,0,12,0,4,0,0,0,40,39,0
217,38,4,13,2,12,4,4,1,0,0,50,31,0
218,45,4,13,2,10,4,4,1,0,0,55,39,0
219,25,4,6,4,3,0,4,1,0,0,40,39,0
220,31,4,10,2,6,4,4,1,0,0,40,39,0
221,64,0,2,0,0,0,4,1,0,0,40,39,0
222,90,4,9,4,8,0,2,1,0,2206,40,39,0
223,54,4,9,2,1,4,2,1,0,0,20,39,0
224,53,2,1,4,7,0,4,0,0,0,35,39,0
225,18,4,9,4,12,3,4,0,0,0,40,39,0
226,60,0,6,0,0,0,0,0,0,0,10,39,0
227,66,6,9,2,5,4,4,1,1409,0,50,39,0
228,75,4,11,6,1,0,4,0,0,0,20,4,0
229,65,4,9,0,1,0,4,0,0,0,40,39,0
230,35,4,7,5,14,0,2,1,3674,0,40,39,0
231,41,4,9,0,12,1,2,0,0,0,38,39,0
232,25,4,10,4,1,0,4,1,0,0,42,39,0
233,33,4,10,0,3,2,3,0,0,0,40,39,0
234,28,4,15,4,10,0,4,1,0,0,55,39,1
235,59,7,9,2,8,4,4,1,0,0,40,39,0
236,40,7,10,4,1,0,4,0,0,0,38,39,0
237,41,4,13,2,4,4,4,1,0,0,50,20,1
238,38,2,14,2,4,4,4,1,0,0,70,39,1
239,23,4,9,4,14,3,4,1,0,0,40,39,0
240,40,4,13,2,10,4,4,1,0,0,40,39,1
241,41,6,9,2,8,5,4,0,0,0,20,39,0
242,24,7,12,2,11,4,4,1,0,0,50,39,0
243,20,0,10,4,0,3,4,1,0,0,20,39,0
244,38,4,10,0,3,0,4,1,0,1741,40,39,0
245,56,4,9,2,1,4,4,1,0,0,35,0,0
246,58,4,9,2,1,4,4,1,0,0,45,39,1
247,32,4,9,4,8,0,4,0,0,0,34,39,0
248,40,4,12,2,13,4,4,1,0,1977,60,39,1
249,45,4,9,2,1,4,4,1,0,0,40,0,0
250,41,4,15,2,10,5,4,0,0,0,40,39,1
251,42,4,13,2,1,5,2,0,0,0,40,39,0
252,59,2,6,6,8,1,2,0,0,0,30,39,0
253,19,2,10,4,1,3,4,1,0,0,40,39,0
254,58,4,10,4,14,0,4,1,0,0,20,39,0
255,42,6,9,2,5,4,1,1,0,0,40,1,1
256,20,4,9,4,8,3,4,0,0,0,40,39,0
257,32,4,9,5,8,0,4,0,0,0,30,39,0
258,45,4,11,6,4,0,4,0,0,0,45,39,0
259,50,4,4,0,3,0,4,1,0,0,40,39,0
260,36,4,13,0,10,3,4,0,0,0,40,39,0
261,45,4,9,2,12,4,4,1,0,0,60,39,0
262,17,4,7,4,8,3,4,1,0,0,12,39,0
263,59,4,10,2,12,4,4,1,4064,0,40,39,0
264,26,4,7,2,3,4,4,1,0,0,40,39,0
265,37,5,10,2,4,4,1,1,0,0,75,37,1
266,19,0,10,4,0,3,4,1,0,0,24,2,0
267,64,4,9,2,4,4,4,1,0,0,40,39,1
268,33,4,13,4,10,0,4,0,0,0,45,39,0
269,33,4,9,2,3,5,4,0,0,0,40,39,1
270,61,4,9,2,4,4,4,1,0,0,40,39,1
271,17,4,5,4,8,3,4,1,1055,0,24,39,0
272,50,6,14,2,5,4,4,1,2407,0,98,39,0
273,27,2,14,4,10,3,4,1,0,0,35,39,0
274,30,4,9,0,10,3,4,0,0,0,40,39,0
275,43,4,9,2,6,4,2,1,0,0,40,39,0
276,44,4,10,2,3,4,4,1,7298,0,40,39,1
277,35,4,10,4,4,0,4,0,0,0,40,39,0
278,25,4,10,4,13,3,4,0,0,0,40,39,0
279,24,4,10,2,7,5,4,0,7298,0,48,39,1
280,22,4,13,4,10,0,4,0,0,0,15,11,0
281,42,2,10,2,3,4,4,1,5178,0,40,39,1
282,34,4,12,0,12,1,2,0,0,0,45,39,0
283,60,4,13,0,10,0,4,0,0,0,42,39,0
284,21,4,9,4,6,3,4,1,0,0,40,39,0
285,57,1,14,2,12,4,4,1,15024,0,40,39,1
286,41,4,15,2,10,4,4,1,0,0,60,39,1
287,50,4,10,0,8,0,4,1,0,0,45,39,0
288,25,4,13,4,4,0,4,0,0,0,40,39,0
289,50,4,4,2,3,4,4,1,0,0,40,7,0
290,36,4,13,2,10,4,4,1,0,0,45,39,0
291,31,4,9,0,10,0,4,0,0,0,40,39,0
292,29,2,13,4,11,0,4,1,0,0,56,39,0
293,21,4,10,4,12,3,4,1,0,0,45,39,0
294,27,4,13,4,13,1,2,0,0,0,40,39,0
295,65,4,9,2,14,4,4,1,0,0,16,39,0
296,37,5,13,0,12,0,4,0,0,0,60,39,0
297,39,0,14,2,0,5,1,0,3464,0,40,0,0
298,24,4,9,4,3,3,4,1,0,0,40,39,0
299,38,4,9,0,12,0,4,1,0,0,80,39,0
300,48,4,13,2,1,4,4,1,7688,0,40,39,1
301,21,4,10,4,8,0,1,0,0,0,25,39,0
302,31,4,9,2,14,4,4,1,0,0,45,39,1
303,55,4,9,2,12,4,4,1,4386,0,40,39,1
304,24,4,10,2,1,5,1,0,0,0,40,25,0
305,43,4,9,0,1,0,4,0,0,0,40,39,0
306,26,4,12,4,13,0,4,1,0,0,45,39,0
307,46,4,12,4,10,0,4,0,0,0,33,39,0
308,35,4,12,2,1,4,4,1,0,0,40,39,1
309,41,5,10,2,5,4,4,1,0,0,54,39,1
310,26,4,13,4,12,0,4,1,0,0,40,39,0
311,34,4,14,2,4,4,1,1,7298,0,35,36,1
312,19,0,10,4,0,3,2,0,0,0,25,39,0
313,36,6,13,0,10,0,2,0,0,0,40,39,1
314,22,4,10,4,12,3,4,1,0,0,15,39,0
315,24,4,10,4,7,0,4,1,0,0,40,39,0
316,77,6,10,2,12,4,4,1,0,0,40,39,0
317,22,4,3,2,7,2,4,0,0,0,40,26,0
318,29,4,10,4,13,0,4,0,0,0,40,39,0
319,62,4,9,6,8,0,4,0,0,0,24,39,0
320,39,6,9,2,4,4,4,1,0,0,40,39,0
321,43,4,10,2,3,4,4,1,0,1485,50,39,0
322,35,4,9,0,14,0,4,1,0,0,45,39,0
323,29,4,7,4,4,0,4,0,0,0,40,39,0
324,76,6,14,2,3,4,4,1,0,0,10,39,0
325,63,6,9,2,5,4,4,1,0,0,45,39,0
326,23,0,11,4,0,3,2,0,0,0,15,39,0
327,43,4,10,2,10,5,4,0,0,1887,50,39,1
328,58,6,9,2,6,4,4,1,0,0,40,39,0
329,66,4,9,4,14,0,4,1,2050,0,55,39,0
330,41,4,10,4,3,0,2,1,0,0,45,39,0
331,26,4,13,4,1,0,4,1,0,0,40,39,0
332,47,4,11,4,8,0,4,1,0,0,40,39,0
333,55,2,6,2,1,4,4,1,0,0,40,39,0
334,53,4,9,2,14,4,4,1,0,0,40,39,0
335,17,4,3,4,8,2,4,1,0,0,48,26,0
336,30,4,9,4,3,2,4,1,0,0,40,39,0
337,49,4,14,4,10,0,4,1,0,0,60,39,0
338,19,4,9,4,12,1,2,1,0,0,30,14,0
339,45,4,9,2,8,4,2,1,0,0,40,39,0
340,26,4,12,4,12,0,4,1,0,0,40,39,0
341,38,4,11,2,3,4,4,1,7298,0,40,39,1
342,36,7,9,2,11,4,4,1,7298,0,40,39,1
343,33,4,9,4,5,0,4,1,0,0,20,39,0
344,22,7,10,4,11,3,2,0,0,0,40,39,0
345,43,6,13,4,12,0,4,1,0,0,42,39,0
346,67,0,7,2,0,4,4,1,0,0,8,39,0
347,30,0,11,0,0,1,4,0,0,0,40,39,0
348,56,4,12,3,8,0,4,1,0,0,25,20,0
349,31,4,13,4,10,3,4,1,0,0,25,39,0
350,33,4,13,2,4,4,4,1,0,0,40,39,1
351,26,4,9,2,8,4,4,1,0,0,40,39,0
352,33,4,13,2,4,4,4,1,0,0,40,39,1
353,46,2,7,2,14,4,4,1,0,0,30,39,0
354,59,0,13,2,0,4,4,1,0,0,40,39,1
355,38,1,9,2,1,4,4,1,0,0,40,39,1
356,65,4,7,6,8,1,3,1,0,0,40,39,0
357,40,4,11,2,13,4,4,1,0,0,40,39,1
358,42,4,9,2,1,5,4,0,0,0,35,39,0
359,26,6,5,2,3,4,4,1,0,0,40,32,0
360,36,4,6,2,8,5,4,0,0,0,24,39,0
361,62,4,14,2,10,4,4,1,0,0,40,39,1
362,43,4,13,2,14,4,4,1,0,0,45,39,0
363,43,4,13,0,4,0,4,1,0,1564,45,39,1
364,22,4,9,3,12,0,4,1,0,0,55,39,0
365,28,4,9,2,3,4,4,1,0,0,40,39,0
366,56,6,10,2,12,4,4,1,0,0,45,39,0
367,22,4,12,4,12,0,4,0,0,0,15,39,0
368,57,4,13,0,4,0,4,0,0,0,45,39,1
369,39,4,9,0,12,1,4,0,0,0,40,39,0
370,26,1,10,4,1,1,4,0,0,0,15,39,0
371,17,4,7,4,8,3,4,1,0,0,10,39,0
372,40,7,11,2,7,4,4,1,0,0,38,39,1
373,45,4,9,2,7,4,2,1,0,0,40,39,0
374,44,4,9,4,3,0,2,1,0,0,40,39,0
375,20,2,10,4,1,3,4,0,0,0,10,39,0
376,33,4,9,2,3,5,4,0,0,0,40,39,0
377,23,4,10,4,12,0,4,1,0,0,40,39,0
378,46,6,14,0,4,0,4,1,0,0,30,39,0
379,38,4,9,2,12,4,4,1,0,0,50,39,0
380,54,4,9,0,14,0,4,1,0,0,40,39,0
381,46,4,3,0,3,0,4,0,0,2339,45,39,0
382,25,4,10,2,3,4,4,1,0,0,40,39,0
383,46,4,10,0,12,0,4,0,0,0,40,39,0
384,36,2,10,2,14,5,4,0,0,0,40,39,0
385,23,4,9,4,8,0,4,0,0,0,25,39,0
386,29,4,9,5,7,0,4,1,0,0,40,39,0
387,44,4,10,2,1,5,4,0,0,2415,6,39,1
388,19,4,10,4,1,3,4,0,0,0,16,39,0
389,19,4,9,4,8,2,4,0,0,0,40,39,0
390,35,4,9,2,8,5,4,0,0,0,40,39,1
391,27,4,13,4,3,0,4,1,0,0,50,39,0
392,46,6,12,5,3,0,4,1,0,0,40,39,0
393,34,7,13,2,4,4,4,1,7688,0,45,0,1
394,34,4,9,4,8,0,4,0,0,0,35,39,0
395,44,4,10,2,13,4,4,1,0,0,40,39,0
396,45,4,10,0,6,1,4,0,0,0,40,39,0
397,20,0,9,4,0,2,4,0,0,0,35,39,0
398,25,4,13,2,4,4,4,1,0,0,55,39,1
399,52,5,13,2,4,4,4,1,0,0,50,39,1
400,20,4,10,4,6,3,4,1,0,0,40,39,0
401,28,4,10,4,8,0,4,0,0,0,40,39,0
402,50,7,13,2,11,4,4,1,0,0,40,39,1
403,34,4,11,0,13,0,4,0,0,0,64,39,0
404,28,4,4,2,6,4,3,1,0,2179,40,33,0
405,41,4,14,2,4,4,4,1,0,1977,65,39,1
406,28,4,9,2,1,4,4,1,0,0,40,39,0
407,46,6,9,2,3,4,4,1,0,0,25,39,0
408,28,0,10,2,0,5,4,0,0,1887,40,39,1
409,32,4,10,2,4,4,4,1,0,0,50,39,0
410,41,2,10,0,8,0,2,0,0,0,24,39,0
411,24,4,9,4,6,1,2,0,0,0,40,39,0
412,33,4,10,0,4,1,4,0,0,0,40,39,0
413,46,4,16,2,4,4,4,1,15024,0,60,39,1
414,31,7,10,2,7,4,4,1,0,0,40,39,0
415,35,4,8,0,3,0,4,1,0,0,50,39,1
416,52,4,2,2,7,4,4,1,0,0,40,26,0
417,30,4,7,4,8,3,4,0,0,0,19,39,0
418,34,2,7,5,7,0,2,1,0,0,40,39,0
419,34,7,9,0,14,1,4,0,0,0,40,39,0
420,20,4,10,2,12,4,4,1,0,0,30,39,0
421,17,4,7,4,6,3,4,1,2176,0,18,39,0
422,32,7,13,2,4,5,4,0,0,0,40,39,1
423,29,4,9,0,5,0,4,1,0,0,40,39,0
424,33,4,6,4,3,1,4,0,0,0,35,39,0
425,25,4,9,2,14,4,4,1,0,0,60,39,0
426,36,1,14,4,10,0,4,1,0,1408,40,39,0
427,23,4,9,4,6,0,4,1,0,0,72,6,0
428,63,5,9,2,4,4,4,1,0,0,40,39,1
429,47,2,14,2,10,4,4,1,0,0,40,39,0
430,80,0,9,6,0,0,4,1,0,0,24,39,0
431,17,0,7,4,0,3,4,1,0,0,40,39,0
432,40,6,13,3,10,0,4,0,2174,0,40,39,0
433,30,4,12,2,8,5,4,0,0,0,25,39,1
434,27,4,10,4,3,3,1,1,0,1980,40,30,0
435,33,4,14,2,10,4,4,1,0,0,50,39,1
436,34,2,9,4,5,0,2,1,594,0,60,39,0
437,34,2,10,4,11,0,4,0,0,0,40,39,0
438,23,4,10,2,1,4,4,1,0,0,40,39,0
439,42,2,10,2,1,5,4,0,0,0,40,39,0
440,29,4,13,4,10,0,4,1,0,0,40,39,0
441,45,4,9,0,1,0,4,0,0,0,28,39,0
442,24,1,9,4,2,3,4,1,0,0,40,39,0
443,44,4,10,2,10,4,4,1,0,0,40,39,1
444,27,4,5,4,3,2,4,1,0,0,40,26,0
445,20,4,10,4,12,0,4,1,0,0,35,39,0
446,44,4,9,6,4,1,2,0,0,0,40,39,0
447,51,4,9,2,3,4,0,1,0,0,40,39,0
448,20,4,9,2,7,4,4,1,0,0,40,39,0
449,17,0,7,4,0,3,4,0,0,0,5,39,0
450,19,4,9,4,7,3,2,0,0,0,40,39,0
451,45,5,10,2,3,4,4,1,0,0,55,39,1
452,60,4,9,2,3,4,4,1,0,0,40,39,1
453,42,4,12,2,4,4,2,1,0,0,40,0,1
454,44,6,9,2,12,5,4,0,0,0,40,39,1
455,40,4,11,2,7,4,1,1,0,0,40,39,1
456,30,4,9,2,4,5,4,0,0,0,40,39,0
457,38,4,10,2,14,4,2,1,0,0,50,39,0
458,23,4,9,2,14,4,4,1,0,0,60,39,0
459,32,0,10,2,0,4,4,1,0,0,40,39,0
460,44,4,12,4,5,3,4,1,0,0,40,39,0
461,54,2,9,2,14,4,2,1,0,0,40,39,0
462,32,4,13,2,10,4,4,1,0,0,50,39,0
463,50,4,2,3,3,1,4,1,0,0,40,39,0
464,24,4,13,4,13,0,4,0,0,0,20,39,0
465,37,4,9,2,1,5,4,0,0,0,60,39,0
466,52,4,9,0,14,1,4,1,0,0,40,39,0
467,38,4,10,2,14,4,4,1,0,0,40,39,0
468,49,4,14,2,4,4,4,1,0,1977,45,39,1
469,30,4,13,2,13,5,4,0,0,0,16,39,1
470,60,4,10,4,10,1,4,1,0,0,40,39,1
471,22,0,10,4,0,3,4,1,0,0,40,39,0
472,35,4,9,4,3,0,4,1,0,0,40,39,0
473,30,4,9,4,14,0,4,1,0,0,60,39,0
474,67,4,11,0,8,0,4,0,0,0,24,39,0
475,46,4,13,4,3,0,4,0,0,0,40,39,0
476,17,4,5,4,8,0,4,1,0,0,6,39,0
477,22,4,10,4,6,3,4,1,0,0,30,39,0
478,27,4,6,4,8,0,4,1,0,0,40,39,0
479,23,4,9,4,8,1,4,0,0,0,35,39,0
480,33,4,12,2,3,4,4,1,0,0,45,32,0
481,43,6,10,2,3,4,4,1,0,0,20,39,0
482,28,7,13,4,10,0,4,1,0,0,20,39,0
483,41,4,9,3,3,1,4,0,0,0,40,39,0
484,52,0,8,4,0,2,2,1,594,0,40,39,0
485,25,4,10,3,1,3,2,0,0,0,20,39,0
486,63,0,2,2,0,4,4,1,0,0,35,39,0
487,59,2,9,2,14,4,4,1,0,0,45,39,0
488,45,2,13,0,10,1,4,0,0,0,40,39,0
489,38,4,13,2,12,4,4,1,15024,0,60,39,1
490,40,4,9,4,8,0,4,0,0,0,35,39,0
491,46,1,9,0,1,0,4,1,0,0,40,39,0
