datetime,Net Spend,TV Spend,temperature,rain,revenue,weekend FLG
2019/5/24,0,47150.24186,23.1,0,472849.8108,1
2019/5/25,0,47150.24186,24.4,0,587205.5406,1
2019/5/26,0,47150.24186,25.2,0,481806.2844,1
2019/5/27,0,0,26.1,0,425396.9811,0
2019/5/28,0,0,23.5,1,342906.0988,0
2019/5/29,0,0,20.2,7.5,394959.5444,0
2019/5/30,0,0,21.2,0,282286.117,0
2019/5/31,0,0,21.6,0,422314.2401,1
2019/6/1,0,0,21.8,0,488834.8576,1
2019/6/2,0,0,22,0,421553.8746,1
2019/6/3,0,65915.6403,22.2,0,473040.3423,0
2019/6/4,0,65915.6403,22.4,0,459033.132,0
2019/6/5,0,65915.6403,22.6,0,635740.2965,0
2019/6/6,0,65915.6403,25.2,0,532744.5134,0
2019/6/7,0,65915.6403,21,19.5,491046.2819,1
2019/6/8,0,65915.6403,20.8,0,495963.6585,1
2019/6/9,101731.5132,65915.6403,17.5,10,523529.6528,1
2019/6/10,124303.0187,371085.0801,16.2,92.5,313085.0105,0
2019/6/11,104299.4304,371085.0801,18.3,1,587306.4108,0
2019/6/12,137980.0228,371085.0801,18,0.5,420236.1083,0
2019/6/13,58839.13932,371085.0801,20.7,0,532319.2628,0
2019/6/14,113411.388,371085.0801,22.2,0,568397.7121,1
2019/6/15,77172.99697,371085.0801,17.3,51,587795.4999,1
2019/6/16,70973.42836,371085.0801,23.5,5,587245.8373,1
2019/6/17,80705.01117,236874.2746,23.6,0,545274.2917,0
2019/6/18,89614.9156,236874.2746,23.4,0,379391.8102,0
2019/6/19,101872.1781,236874.2746,23.5,0,512340.9466,0
2019/6/20,61161.67197,236874.2746,24.1,0,586830.5614,0
2019/6/21,130027.5496,236874.2746,24.6,0,622415.9901,1
2019/6/22,0,236874.2746,22.2,6,395157.6668,1
2019/6/23,0,236874.2746,21.4,0,409408.4647,1
2019/6/24,0,0,19.1,25.5,182334.558,0
2019/6/25,0,0,22.3,0,385775.8283,0
2019/6/26,0,0,24.7,0,359708.1371,0
2019/6/27,0,0,25.6,2,418724.5572,0
2019/6/28,0,0,25.2,3.5,509939.9402,1
2019/6/29,0,0,20.2,3,348994.4973,1
2019/6/30,0,0,21.6,5.5,306064.148,1
2019/7/1,0,0,22.7,1.5,444385.7263,0
2019/7/2,0,0,23.8,0.5,361421.7308,0
2019/7/3,0,0,24.9,1,511071.3219,0
2019/7/4,0,0,22.7,10.5,472720.3085,0
2019/7/5,0,0,21.9,4.5,481244.3272,1
2019/7/6,0,0,21,14.5,435015.4184,1
2019/7/7,0,0,19.2,22.5,518856.6224,1
2019/7/8,0,479450.2131,20.3,0,370409.5573,0
2019/7/9,113399.6454,479450.2131,19.7,0,628659.2674,0
2019/7/10,162771.6899,479450.2131,21,0,484559.5667,0
2019/7/11,55074.69796,479450.2131,19.9,2,479655.693,0
2019/7/12,57650.50005,479450.2131,20.2,12.5,539716.9571,1
2019/7/13,132313.2236,479450.2131,23.4,0.5,744577.1777,1
2019/7/14,60895.8865,479450.2131,21.3,39,510755.688,1
2019/7/15,164787.3729,332631.7963,21.3,7,610611.6491,0
2019/7/16,86212.70064,332631.7963,20.5,33.5,348589.2957,0
2019/7/17,75084.83962,332631.7963,23.9,0.5,525923.9632,0
2019/7/18,164098.0675,332631.7963,25.6,9.5,515784.2348,0
2019/7/19,149350.493,332631.7963,26.7,3.5,644546.2549,1
2019/7/20,162251.9653,332631.7963,26.5,0,653941.917,1
2019/7/21,130201.4886,332631.7963,25,0,512393.3316,1
2019/7/22,0,0,22.7,0.5,385198.1219,0
2019/7/23,0,0,24.5,4,432541.3419,0
2019/7/24,0,0,26.8,6,421670.4412,0
2019/7/25,0,0,28,0,451683.6382,0
2019/7/26,0,0,28.5,0.5,481867.9728,1
2019/7/27,0,0,28,4,598366.6454,1
2019/7/28,0,0,27.7,15,552588.1979,1
2019/7/29,0,0,29,0,407259.276,0
2019/7/30,0,0,29.5,0,507997.0043,0
2019/7/31,0,0,30,0,566638.1823,0
2019/8/1,0,0,30.5,0,525236.0139,0
2019/8/2,0,0,30.2,0,590760.4625,1
2019/8/3,0,0,29.4,0,506715.3893,1
2019/8/4,0,0,29.4,0,680337.8221,1
2019/8/5,0,458934.4741,29.8,0,591831.82,0
2019/8/6,0,458934.4741,30.3,0,537798.6978,0
2019/8/7,0,458934.4741,30.4,0,625822.0041,0
2019/8/8,0,458934.4741,29.9,0,643544.4306,0
2019/8/9,118937.8094,458934.4741,30.1,0,780894.9707,1
2019/8/10,188759.9569,458934.4741,29.6,0,727375.3846,1
2019/8/11,124035.5914,458934.4741,29.4,0,767613.708,1
2019/8/12,161697.6298,878318.1461,28.8,0.5,693450.0313,0
2019/8/13,126088.2092,878318.1461,29.3,0,613850.254,0
2019/8/14,196076.4424,878318.1461,29.2,8.5,637876.7583,0
2019/8/15,190751.5102,878318.1461,29.2,20,703767.3328,0
2019/8/16,148890.733,878318.1461,29,0,719329.3642,1
2019/8/17,181120.358,878318.1461,30.3,0,703727.8957,1
2019/8/18,101703.3862,878318.1461,30.1,0,627233.7425,1
2019/8/19,80466.26172,230117.6083,28.1,0.5,578886.2562,0
2019/8/20,183434.2241,230117.6083,26.5,13,537184.245,0
2019/8/21,168889.2531,230117.6083,27,3,566459.1739,0
2019/8/22,0,230117.6083,26,20,365259.4683,0
2019/8/23,0,230117.6083,26.3,4.5,441056.3857,1
2019/8/24,0,230117.6083,27.3,0,572290.4395,1
2019/8/25,0,230117.6083,25.8,15,542559.4484,1
2019/8/26,0,0,25.3,0,367728.8647,0
2019/8/27,0,0,25.3,6,387937.4098,0
2019/8/28,0,0,25.6,7,485480.6644,0
2019/8/29,0,0,28.9,0,378359.612,0
2019/8/30,0,0,26,12,530055.6346,1
2019/8/31,0,0,27.3,0,478751.68,1
2019/9/1,0,0,27.7,0,439548.691,1
2019/9/2,0,55267.57096,27.6,0,517660.5065,0
2019/9/3,0,55267.57096,25.8,1.5,455679.3819,0
2019/9/4,0,55267.57096,23.7,0,416810.5593,0
2019/9/5,0,55267.57096,25.7,0,592869.7776,0
2019/9/6,0,55267.57096,27.9,0,481247.5059,1
2019/9/7,0,55267.57096,28.4,0,703404.2009,1
2019/9/8,0,55267.57096,29.1,8.5,585499.3816,1
2019/9/9,262908.3762,385322.6101,29,119,618178.802,0
2019/9/10,210635.7764,385322.6101,29.9,0.5,724157.9152,0
2019/9/11,164669.3995,385322.6101,27.4,7.5,640868.8824,0
2019/9/12,94643.439,385322.6101,25.1,0,557415.9133,0
2019/9/13,205032.6921,385322.6101,22.4,0,668953.2258,1
2019/9/14,106655.1815,385322.6101,22.1,0,608876.7108,1
2019/9/15,77612.20817,385322.6101,25.2,0.5,710750.143,1
2019/9/16,223361.5889,279155.8887,22.9,28.5,510130.9236,0
2019/9/17,176903.606,279155.8887,25.8,0,578277.8117,0
2019/9/18,209112.4706,279155.8887,21.2,9.5,506269.3382,0
2019/9/19,176998.8082,279155.8887,22.1,0,431691.3245,0
2019/9/20,205697.6326,279155.8887,22.8,0,427920.587,1
2019/9/21,125278.635,279155.8887,21.8,0,480706.4048,1
2019/9/22,0,279155.8887,22.4,17,474287.9767,1
2019/9/23,0,0,26,3.5,407635.9404,0
2019/9/24,0,0,25.4,1,417449.9571,0
2019/9/25,0,0,24.3,0,460776.4848,0
2019/9/26,0,0,22.8,0,425709.8706,0
2019/9/27,0,0,23,0,421345.0823,1
2019/9/28,0,0,24.4,0,357291.9631,1
2019/9/29,0,0,24.7,0,475939.8838,1
2019/9/30,0,0,25.2,0,392409.2848,0
2019/10/1,0,0,24.5,0,367841.96,0
2019/10/2,0,0,23.9,0,376863.9263,0
2019/10/3,0,0,24.5,0,406228.7892,0
2019/10/4,0,0,24.8,10,580058.4926,1
2019/10/5,0,0,26.1,0,580694.1064,1
2019/10/6,0,0,20.5,5.5,535560.9839,1
2019/10/7,0,479268.7753,20,7,416358.7747,0
2019/10/8,0,479268.7753,21.7,5.5,375490.1972,0
2019/10/9,108901.6956,479268.7753,20.8,0,524274.1138,0
2019/10/10,98690.57273,479268.7753,19.4,9,523094.7464,0
2019/10/11,61063.55008,479268.7753,19.6,7.5,593293.3284,1
2019/10/12,117442.5554,479268.7753,23.3,209.5,407455.357,1
2019/10/13,94281.78896,479268.7753,24.5,0,737492.8919,1
2019/10/14,125726.3517,568295.3864,17,5,390413.6159,0
2019/10/15,127450.1385,568295.3864,18.4,0,506168.2157,0
2019/10/16,172107.865,568295.3864,16.1,0,374296.5132,0
2019/10/17,144550.9316,568295.3864,16.2,4.5,338195.3338,0
2019/10/18,87693.93874,568295.3864,16.5,5.5,422709.9907,1
2019/10/19,92020.69408,568295.3864,17.4,53.5,408706.0605,1
2019/10/20,136655.3199,568295.3864,20.1,0,502792.8935,1
2019/10/21,121842.1244,0,18.2,6.5,407013.3062,0
2019/10/22,0,0,15.4,65,296591.3479,0
2019/10/23,0,0,18.5,0,353984.3656,0
2019/10/24,0,0,18.1,3,308187.8379,0
2019/10/25,0,0,15.1,120.5,166753.5792,1
2019/10/26,0,0,18.1,0.5,363281.7377,1
2019/10/27,0,0,18.3,0,293928.9103,1
2019/10/28,0,0,17.4,0,353795.1709,0
2019/10/29,0,0,14.5,11.5,324453.896,0
2019/10/30,0,0,16.5,0,313544.2787,0
2019/10/31,0,0,16.8,0,326284.3039,0
2019/11/1,0,0,17.4,0,397831.4576,1
2019/11/2,0,0,15.7,0,269273.7913,1
2019/11/3,0,0,15.8,10.5,326092.7776,1
2019/11/4,0,85257.92027,14.6,1,274425.3222,0
2019/11/5,0,85257.92027,13.7,0,192979.7695,0
2019/11/6,0,85257.92027,14.3,0,342163.2717,0
2019/11/7,0,85257.92027,16,0,280874.0622,0
2019/11/8,0,85257.92027,15.1,0,366380.9519,1
2019/11/9,50728.08051,85257.92027,13.3,0,360757.5615,1
2019/11/10,69629.62948,85257.92027,13.9,0,351087.4812,1
2019/11/11,0,180314.3859,12.9,6.5,208934.47,0
2019/11/12,61265.23988,180314.3859,15.1,0,377743.3027,0
2019/11/13,63130.13076,180314.3859,13.3,0.5,209214.7133,0
2019/11/14,64643.62072,180314.3859,16.9,0,416726.2997,0
2019/11/15,0,180314.3859,12.6,0,400241.876,1
2019/11/16,55241.56541,180314.3859,12.8,0,389929.4232,1
2019/11/17,0,180314.3859,13.4,0,250568.9517,1
2019/11/18,50133.60233,90018.56731,16.1,0,400744.0015,0
2019/11/19,0,90018.56731,15.8,3,256939.5467,0
2019/11/20,68321.00093,90018.56731,12,0,158922.3642,0
2019/11/21,0,90018.56731,11.3,0,192562.1793,0
2019/11/22,0,90018.56731,8.1,47,210454.418,1
2019/11/23,0,90018.56731,11.3,60.5,223386.2856,1
2019/11/24,0,90018.56731,15.9,19,351924.4703,1
2019/11/25,0,0,16.6,1,358735.6019,0
2019/11/26,0,0,8.8,1.5,138452.3523,0
2019/11/27,0,0,9.3,2.5,133221.0485,0
2019/11/28,0,0,8.5,3.5,0,0
2019/11/29,0,0,5.2,0,148639.6663,1
2019/11/30,0,0,7.3,0,230917.2406,1
2019/12/1,0,0,7.4,0,145487.4467,1
2019/12/2,0,37828.46267,9.5,36,103693.6261,0
2019/12/3,0,37828.46267,11.8,0,79985.04446,0
2019/12/4,0,37828.46267,10.2,0,283499.6475,0
2019/12/5,0,37828.46267,9.6,0,122330.2688,0
2019/12/6,0,37828.46267,8,0,265563.2965,1
2019/12/7,0,37828.46267,5.5,1.5,217850.5139,1
2019/12/8,0,37828.46267,7.4,0,230869.304,1
2019/12/9,0,601125.4754,6.4,1,265804.5214,0
2019/12/10,0,601125.4754,10.2,5.5,188457.2716,0
2019/12/11,0,601125.4754,11.7,0.5,286316.4321,0
2019/12/12,0,601125.4754,11.7,0,172713.7886,0
2019/12/13,0,601125.4754,7.5,0,277346.3521,1
2019/12/14,0,601125.4754,9.4,0,287042.6519,1
2019/12/15,0,601125.4754,8.7,0,270101.9668,1
2019/12/16,0,398799.947,7.8,0,211372.9016,0
2019/12/17,0,398799.947,8.2,1,152696.3591,0
2019/12/18,0,398799.947,11.1,0,251794.8777,0
2019/12/19,0,398799.947,9,0,14890.85523,0
2019/12/20,0,398799.947,10.6,0,173509.3951,1
2019/12/21,0,398799.947,8.1,0,219123.7437,1
2019/12/22,0,398799.947,6.8,16.5,205747.4778,1
2019/12/23,0,0,6.8,13.5,21312.8915,0
2019/12/24,0,0,8.2,0,162946.392,0
2019/12/25,0,0,5.9,0,77186.10403,0
2019/12/26,0,0,7.8,0,133159.3359,0
2019/12/27,0,0,8.7,0.5,110415.447,1
2019/12/28,0,0,6.8,0,156413.2543,1
2019/12/29,0,0,7,0,326065.7614,1
2019/12/30,0,0,6.7,0.5,95333.87153,0
2019/12/31,0,0,8.2,0,30538.55546,0
2020/1/1,0,0,5.5,0,73662.3822,0
2020/1/2,0,0,6.2,0,197162.0051,0
2020/1/3,0,0,6.1,0,266674.1756,1
2020/1/4,0,0,7.2,0,153943.3929,1
2020/1/5,0,0,5.4,1,88139.78881,1
2020/1/6,0,40753.49829,7.5,0,248211.9404,0
2020/1/7,0,40753.49829,5.7,2,66642.63779,0
2020/1/8,0,40753.49829,5.2,11.5,148089.635,0
2020/1/9,60485.02739,40753.49829,10.6,0,293438.8406,0
2020/1/10,0,40753.49829,8.4,0,332522.7463,1
2020/1/11,0,40753.49829,7,0,288839.1535,1
2020/1/12,0,40753.49829,6.7,0,271168.7506,1
2020/1/13,56148.60386,93632.77419,8.5,0,306142.4238,0
2020/1/14,0,93632.77419,8.4,0,296342.1792,0
2020/1/15,57357.94973,93632.77419,6.8,15,206859.8108,0
2020/1/16,0,93632.77419,6.7,0,144831.6984,0
2020/1/17,0,93632.77419,7.3,0,138376.0262,1
2020/1/18,70718.8893,93632.77419,3.8,8.5,167067.2152,1
2020/1/19,0,93632.77419,6.5,0,173268.7361,1
2020/1/20,0,17570.56269,7.5,0,116372.7658,0
2020/1/21,55158.5515,17570.56269,7.4,0,228982.9499,0
2020/1/22,0,17570.56269,4.9,0,39541.16026,0
2020/1/23,0,17570.56269,6.1,2.5,56463.10051,0
2020/1/24,0,17570.56269,9.9,0,197050.8873,1
2020/1/25,0,17570.56269,7.8,0,170434.6082,1
2020/1/26,0,17570.56269,5,6,118816.0211,1
2020/1/27,0,0,5.1,5,65396.71277,0
2020/1/28,0,0,4.4,55.5,36136.58155,0
2020/1/29,0,0,11.8,28,185117.6195,0
2020/1/30,0,0,11.7,0,279347.4171,0
2020/1/31,0,0,8.1,0,135382.9986,1
2020/2/1,0,0,7.9,0,137832.6228,1
2020/2/2,0,0,8.7,0,131927.6103,1
2020/2/3,0,50924.3395,9.3,0,132724.0629,0
2020/2/4,0,50924.3395,7.9,0,262711.5366,0
2020/2/5,0,50924.3395,7.6,0,229716.42,0
2020/2/6,0,50924.3395,2.9,0,80117.78592,0
2020/2/7,0,50924.3395,2.4,0,208792.1029,1
2020/2/8,0,50924.3395,6.2,0,250452.2747,1
2020/2/9,0,50924.3395,3.9,0,115054.9699,1
2020/2/10,0,187013.686,4.6,0,77291.88132,0
2020/2/11,0,187013.686,6.3,0,143678.71,0
2020/2/12,0,187013.686,8.7,0,237193.0899,0
2020/2/13,0,187013.686,11.7,0,218238.0505,0
2020/2/14,0,187013.686,12,0,306255.6976,1
2020/2/15,0,187013.686,12.4,0,315153.6773,1
2020/2/16,0,187013.686,9.3,8.5,235528.4054,1
2020/2/17,0,109542.9493,10.3,0,141514.3265,0
2020/2/18,0,109542.9493,7.6,0,116523.2557,0
2020/2/19,0,109542.9493,8.1,0,146850.2962,0
2020/2/20,0,109542.9493,9,0,139389.2181,0
2020/2/21,0,109542.9493,10,0,162012.5173,1
2020/2/22,0,109542.9493,12.5,2.5,340500.1936,1
2020/2/23,0,109542.9493,10.4,0,333427.5109,1
2020/2/24,0,0,9.8,0,250599.9069,0
2020/2/25,0,0,10.5,0,170484.2919,0
2020/2/26,0,0,8.1,3,170087.8696,0
2020/2/27,0,0,7,0,134459.9553,0
2020/2/28,0,0,7,0,113970.1143,1
2020/2/29,0,0,9.4,1,261457.3273,1
2020/3/1,0,0,12,0.5,213327.1162,1
2020/3/2,0,0,7.3,10,157629.4559,0
2020/3/3,0,0,11.3,0,141019.4402,0
2020/3/4,0,0,8.9,1.5,286283.6136,0
2020/3/5,0,0,9.2,1,285719.5612,0
2020/3/6,0,0,9.4,0,239973.447,1
2020/3/7,0,0,7.3,1.5,271947.3878,1
2020/3/8,0,0,7.2,6,243308.2982,1
2020/3/9,0,201330.3137,13.1,0,275436.528,0
2020/3/10,51181.54735,201330.3137,14.7,24.5,405176.892,0
2020/3/11,54392.8901,201330.3137,15.3,0,491306.2922,0
2020/3/12,52706.12911,201330.3137,11.4,0,394310.4848,0
2020/3/13,63134.07711,201330.3137,12.5,0,422274.4243,1
2020/3/14,71570.42995,201330.3137,5.5,25,327085.3816,1
2020/3/15,66993.08914,201330.3137,7.1,0,350034.6175,1
2020/3/16,0,139516.7017,7.1,0,214882.4072,0
2020/3/17,0,139516.7017,7.7,0,99456.39691,0
2020/3/18,87290.63696,139516.7017,11.9,0,372646.4142,0
2020/3/19,0,139516.7017,14.6,1,179148.9302,0
2020/3/20,0,139516.7017,14.5,0,320486.2282,1
2020/3/21,0,139516.7017,13.8,0,442841.6585,1
2020/3/22,0,139516.7017,16.8,0,285635.8685,1
2020/3/23,0,0,10.3,0,10473.81176,0
2020/3/24,0,0,8.2,0,109881.6368,0
2020/3/25,0,0,10,0,67514.87601,0
2020/3/26,0,0,13,0,206015.9659,0
2020/3/27,0,0,16.2,0,358478.2009,1
2020/3/28,0,0,15.5,8.5,188774.2805,1
2020/3/29,0,0,3.6,51.5,109710.9521,1
2020/3/30,0,0,7.6,0,104810.5188,0
2020/3/31,0,0,9.8,0,218285.3157,0
